Bike,Class,Speed,Weight,Acceleration,Handling,Drift,Off-Road,Mini-Turbo
Standard Bike S,Light,39,21,51,51,54,43,48
Bullet Bike,Light,53,24,32,35,67,29,67
Bit Bike,Light,25,18,59,67,40,56,62
Quacker,Light,32,17,67,60,63,48,57
Magikruiser,Light,43,24,45,45,32,67,43
Jet Bubble,Light,48,27,40,40,45,35,37
Standard Bike M,Medium,46,45,40,43,45,35,40
Mach Bike,Medium,55,37,24,32,62,27,62
Sugarscoot,Medium,32,32,54,62,35,51,56
Zip Zip,Medium,41,35,45,51,29,62,45
Sneakster,Medium,62,40,29,27,40,24,27
Dolphin Dasher,Medium,48,43,37,40,24,56,37
Standard Bike L,Heavy,46,54,40,43,43,37,37
Flame Runner,Heavy,60,54,18,24,51,21,51
Wario Bike,Heavy,37,59,51,56,21,45,48
Shooting Star,Heavy,50,48,29,32,59,27,59
Spear,Heavy,67,56,24,18,29,18,18
Phantom,Heavy,43,51,43,48,17,56,40